角色名,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
矜羯罗,,,,,2.0,20.0,37.0,57.0,83.0,65.0,83.0,156.0,135.0,107.0,108.0,129.0,156.0,163.0,167.0,161.0,272.0
神玉,,,,,2.0,9.0,12.0,27.0,23.0,23.0,19.0,43.0,61.0,51.0,46.0,54.0,59.0,78.0,69.0,86.0,154.0
幽灵,,,,,1.0,,,,,,,,,,,,,,,,
古明地觉,,,,,,3591.0,5471.0,6113.0,6925.0,4883.0,5124.0,8821.0,6847.0,5371.0,4305.0,6090.0,6305.0,7600.0,8629.0,9921.0,13504.0
永江衣玖,,,,,,2826.0,2813.0,2738.0,3275.0,1864.0,1513.0,2307.0,1798.0,1338.0,1068.0,1163.0,1070.0,1593.0,1324.0,1273.0,1554.0
比那名居天子,,,,,,2603.0,3557.0,3947.0,4758.0,3468.0,3656.0,5760.0,4538.0,4671.0,3266.0,3765.0,4679.0,5200.0,5139.0,5207.0,6672.0
灵乌路空,,,,,,1917.0,4357.0,4736.0,4950.0,2902.0,2423.0,3590.0,2790.0,2165.0,1688.0,2143.0,2276.0,3077.0,3162.0,3463.0,4315.0
火焰猫燐,,,,,,1499.0,1523.0,2021.0,2257.0,1634.0,1398.0,2244.0,1879.0,1467.0,1260.0,1731.0,1700.0,2051.0,2615.0,2278.0,2952.0
古明地恋,,,,,,1446.0,3283.0,4827.0,5852.0,6063.0,7859.0,10913.0,8874.0,7238.0,5579.0,8865.0,10683.0,13150.0,14150.0,16273.0,27688.0
水桥帕露西,,,,,,1375.0,2431.0,2580.0,2691.0,2216.0,2303.0,3558.0,3035.0,2244.0,1666.0,2290.0,2184.0,3058.0,2844.0,3144.0,3825.0
星熊勇仪,,,,,,1189.0,1328.0,1256.0,1429.0,922.0,901.0,1524.0,1198.0,927.0,675.0,946.0,1125.0,1366.0,1194.0,1143.0,1360.0
爱丽丝的人偶（上海、蓬莱、大江户等）1,,,,,,399.0,,,,,,,,,,,,,,,
黑谷山女,,,,,,386.0,629.0,996.0,1147.0,691.0,604.0,979.0,800.0,642.0,488.0,495.0,581.0,669.0,576.0,590.0,822.0
琪斯美,,,,,,292.0,354.0,410.0,430.0,243.0,243.0,458.0,308.0,261.0,192.0,228.0,178.0,280.0,239.0,242.0,313.0
妖精（女仆妖精、向日葵妖精等）2,,,,,,18.0,,,,,,,,,,,,,,,
幽灵（包括怨灵、旧作的一种杂鱼）3,,,,,,18.0,,,,,,,,,,,,,,,
幽幻魔眼,,,,,,12.0,27.0,39.0,41.0,45.0,52.0,85.0,74.0,55.0,64.0,63.0,64.0,85.0,75.0,115.0,170.0
乌鸦（地狱鸦、紫和文的使魔等）4,,,,,,12.0,,,,,,,,,,,,,,,
酒虫,,,,,,11.0,44.0,30.0,20.0,18.0,36.0,46.0,36.0,25.0,22.0,21.0,28.0,27.0,19.0,14.0,19.0
岩笠,,,,,,9.0,17.0,23.0,46.0,26.0,25.0,27.0,37.0,21.0,20.0,21.0,21.0,29.0,18.0,26.0,53.0
依莉斯,,,,,,7.0,21.0,43.0,52.0,50.0,56.0,123.0,119.0,108.0,117.0,135.0,141.0,152.0,191.0,139.0,318.0
木花咲耶姬,,,,,,7.0,9.0,17.0,8.0,6.0,8.0,12.0,18.0,10.0,9.0,10.0,15.0,18.0,21.0,19.0,20.0
菊理,,,,,,3.0,44.0,21.0,29.0,22.0,17.0,58.0,42.0,33.0,36.0,54.0,43.0,53.0,48.0,49.0,77.0
圣白莲,,,,,,,4335.0,4001.0,3759.0,2688.0,2311.0,3124.0,2345.0,1910.0,1393.0,1913.0,1805.0,1994.0,1983.0,2087.0,2733.0
多多良小伞,,,,,,,3306.0,2561.0,2906.0,2146.0,2634.0,4376.0,4068.0,3115.0,2530.0,3199.0,3818.0,4095.0,4403.0,4806.0,6249.0
娜兹玲,,,,,,,3107.0,2886.0,2426.0,1375.0,1413.0,2404.0,2065.0,1424.0,1119.0,1401.0,1207.0,1949.0,1984.0,1776.0,2156.0
寅丸星,,,,,,,2158.0,2399.0,2027.0,1220.0,1012.0,1530.0,1146.0,805.0,627.0,766.0,651.0,776.0,746.0,691.0,879.0
封兽鵺,,,,,,,1783.0,2314.0,2743.0,1887.0,1940.0,3219.0,2667.0,1962.0,1462.0,1766.0,1967.0,2215.0,1940.0,1883.0,2581.0
村纱水蜜,,,,,,,1765.0,1556.0,1394.0,956.0,830.0,1305.0,1097.0,987.0,762.0,1076.0,1613.0,1714.0,1590.0,1464.0,1832.0
云居一轮,,,,,,,784.0,1000.0,812.0,757.0,841.0,909.0,768.0,703.0,404.0,477.0,479.0,485.0,438.0,429.0,704.0
爱丽丝的人偶（上海、蓬莱、大江户等）,,,,,,,458.0,438.0,460.0,233.0,224.0,452.0,379.0,276.0,201.0,290.0,401.0,474.0,476.0,508.0,591.0
云山,,,,,,,324.0,311.0,175.0,140.0,119.0,182.0,156.0,121.0,76.0,135.0,163.0,156.0,149.0,138.0,166.0
核热造神非想天则,,,,,,,302.0,175.0,139.0,73.0,99.0,135.0,98.0,49.0,37.0,77.0,64.0,96.0,77.0,83.0,79.0
大鲶鱼,,,,,,,217.0,96.0,74.0,38.0,53.0,94.0,84.0,106.0,55.0,98.0,123.0,135.0,125.0,122.0,119.0
飞碟（红、蓝、绿、其他）,,,,,,,95.0,77.0,49.0,34.0,42.0,80.0,62.0,66.0,43.0,86.0,104.0,94.0,92.0,101.0,144.0
妖精（女仆妖精、向日葵妖精等）,,,,,,,65.0,78.0,121.0,59.0,54.0,97.0,87.0,66.0,53.0,96.0,73.0,57.0,86.0,85.0,971.0
咪咪号,,,,,,,27.0,33.0,48.0,28.0,28.0,55.0,32.0,36.0,42.0,38.0,53.0,67.0,71.0,75.0,73.0
毘沙门天,,,,,,,26.0,16.0,11.0,4.0,10.0,12.0,11.0,8.0,4.0,7.0,9.0,18.0,10.0,10.0,19.0
命莲,,,,,,,18.0,18.0,19.0,18.0,14.0,32.0,35.0,30.0,13.0,18.0,16.0,21.0,19.0,24.0,29.0
乌鸦（地狱鸦、紫和文的使魔等）,,,,,,,17.0,21.0,24.0,8.0,14.0,39.0,31.0,15.0,21.0,15.0,46.0,76.0,61.0,78.0,69.0
幽灵（包括怨灵、旧作的一种杂鱼）,,,,,,,12.0,9.0,15.0,15.0,7.0,,,,,,,,,,
大天狗,,,,,,,5.0,,,,,,,,,,,,,,
水江浦岛子（瑞江浦岛子）,,,,,,,3.0,5.0,8.0,8.0,0.0,4.0,12.0,1.0,10.0,2.0,6.0,7.0,5.0,20.0,17.0
姬海棠果,,,,,,,,1926.0,1838.0,1126.0,944.0,1529.0,1547.0,1169.0,926.0,1024.0,1072.0,1201.0,1145.0,1166.0,1527.0
茨木华扇,,,,,,,,923.0,3521.0,2043.0,2133.0,3159.0,2341.0,1672.0,1275.0,2289.0,2190.0,2863.0,2462.0,2528.0,3027.0
河童,,,,,,,,35.0,22.0,,,,,,,,,,,,
天狗（大天狗等）1,,,,,,,,28.0,,,,,,,,,,,,,
妖怪狸,,,,,,,,21.0,6.0,6.0,6.0,,,,,,,,,,
物部布都,,,,,,,,,4479.0,1957.0,2373.0,3438.0,2624.0,2076.0,1523.0,2142.0,2583.0,3071.0,2763.0,2967.0,3571.0
霍青娥,,,,,,,,,2344.0,1396.0,1272.0,1873.0,1538.0,1245.0,929.0,1309.0,1326.0,1767.0,1531.0,1548.0,1820.0
丰聪耳神子,,,,,,,,,2261.0,1936.0,2126.0,3249.0,2273.0,2038.0,1532.0,2573.0,3181.0,3650.0,3257.0,3305.0,3952.0
宫古芳香,,,,,,,,,1509.0,636.0,561.0,957.0,791.0,659.0,479.0,703.0,773.0,1001.0,853.0,825.0,1039.0
幽谷响子,,,,,,,,,1440.0,844.0,786.0,1353.0,1104.0,925.0,719.0,736.0,617.0,620.0,606.0,561.0,864.0
二岩猯藏,,,,,,,,,1298.0,1122.0,1343.0,1601.0,1306.0,1104.0,688.0,893.0,964.0,1238.0,1302.0,1294.0,1513.0
苏我屠自古,,,,,,,,,944.0,647.0,598.0,1095.0,1109.0,960.0,781.0,1119.0,1072.0,1286.0,1140.0,1061.0,1285.0
降神的神灵（天照、伊豆能卖等）,,,,,,,,,53.0,9.0,8.0,15.0,15.0,8.0,7.0,15.0,14.0,20.0,17.0,28.0,26.0
妖怪狐,,,,,,,,,18.0,10.0,23.0,,,,,,,,,,
天狗（大天狗等）,,,,,,,,,14.0,6.0,6.0,,,,,,,,,,
雷兽（务光）,,,,,,,,,9.0,18.0,23.0,,,,,,,,,,
大鹫（久米、竿打）,,,,,,,,,8.0,7.0,16.0,,,,,,,,,,
子龙,,,,,,,,,4.0,7.0,3.0,,,,,,,,,,
秦心,,,,,,,,,,3633.0,3561.0,5641.0,4469.0,3646.0,2725.0,3719.0,4363.0,4966.0,4660.0,5235.0,6729.0
