角色名,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
依莉斯,,,,,,7,21,43,52,50,56,123,119,108,117,135,141,152,191,139,318
琪斯美,,,,,,292,354,410,430,243,243,458,308,261,192,228,178,280,239,242,313
驹草山如,,,,,,,,,,,,,,,,,171,174,615,227,278
舞,1,,9,4,34,57,122,162,143,103,115,178,158,123,116,151,139,155,147,193,277
矜羯罗,,,,,2,20,37,57,83,65,83,156,135,107,108,129,156,163,167,161,272
魂魄妖忌,,,,18,58,107,157,130,137,72,78,155,136,103,75,125,201,222,215,191,264
雪,,,8,,28,53,102,130,99,81,100,162,133,113,117,121,132,137,117,140,256
留琴,,,,2,9,13,39,26,41,25,43,77,84,58,67,103,117,133,119,117,248
蓬莱人形碟面的少女（Label子）,,,,,,,,,,,,,,95,78,117,91,124,125,189,241
牛崎润美,,,,,,,,,,,,,,,,244,179,193,176,178,240
小兔姬,7,1,6,9,21,37,65,72,67,69,82,131,143,104,87,97,100,182,172,171,224
奥莲姬,,,,1,9,17,29,35,34,33,41,48,40,55,57,60,59,62,55,78,222
明罗,,,2,1,14,43,78,79,83,34,56,86,86,80,70,76,80,109,154,217,217
尘塚姥芽,,,,,,,,,,,,,,,,,,,,,200
里香,2,,,5,5,21,32,33,49,67,65,108,113,98,78,97,87,125,109,130,192
朝仓理香子,3,1,4,6,22,19,52,51,65,36,39,59,61,50,44,58,65,101,95,96,178
抗抑郁药大叔（长相酷似周杰伦的村民）,,,,,,,,,,,,,526,268,163,208,216,265,239,185,172
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
